NeuronA,NeuronB,Relatedness
ADAL,ADAR,17.0
ADAL,ADEL,1.0
ADAL,ADER,17.0
ADAL,ADFL,18.0
ADAL,ADFR,16.0
ADAL,ADLL,18.0
ADAL,ADLR,16.0
ADAL,AFDL,18.0
ADAL,AFDR,16.0
ADAL,AIAL,14.0
ADAL,AIAR,16.0
ADAL,AIBL,12.0
ADAL,AIBR,16.0
ADAL,AIML,14.0
ADAL,AIMR,16.0
ADAL,AINL,18.0
ADAL,AINR,18.0
ADAL,AIYL,14.0
ADAL,AIYR,16.0
ADAL,AIZL,5.0
ADAL,AIZR,17.0
ADAL,ALA,18.0
ADAL,ALML,18.0
ADAL,ALMR,18.0
ADAL,ALNL,10.0
ADAL,ALNR,18.0
ADAL,AQR,18.0
ADAL,AS01,18.0
ADAL,AS02,8.0
ADAL,AS03,18.0
ADAL,AS04,12.0
ADAL,AS05,18.0
ADAL,AS06,12.0
ADAL,AS07,18.0
ADAL,AS08,12.0
ADAL,AS09,18.0
ADAL,AS10,10.0
ADAL,AS11,10.0
ADAL,ASEL,19.0
ADAL,ASER,17.0
ADAL,ASGL,12.0
ADAL,ASGR,16.0
ADAL,ASHL,14.0
ADAL,ASHR,16.0
ADAL,ASIL,13.0
ADAL,ASIR,17.0
ADAL,ASJL,19.0
ADAL,ASJR,17.0
ADAL,ASKL,19.0
ADAL,ASKR,17.0
ADAL,AUAL,19.0
ADAL,AUAR,17.0
ADAL,AVAL,18.0
ADAL,AVAR,18.0
ADAL,AVBL,14.0
ADAL,AVBR,16.0
ADAL,AVDL,18.0
ADAL,AVDR,18.0
ADAL,AVEL,18.0
ADAL,AVER,16.0
ADAL,AVFL,18.0
ADAL,AVFR,19.0
ADAL,AVG,16.0
ADAL,AVHL,18.0
ADAL,AVHR,18.0
ADAL,AVJL,18.0
ADAL,AVJR,18.0
ADAL,AVKL,14.0
ADAL,AVKR,16.0
ADAL,AVL,16.0
ADAL,AVM,19.0
ADAL,AWAL,12.0
ADAL,AWAR,16.0
ADAL,AWBL,18.0
ADAL,AWBR,16.0
ADAL,AWCL,14.0
ADAL,AWCR,16.0
ADAL,BAGL,18.0
ADAL,BAGR,18.0
ADAL,BDUL,18.0
ADAL,BDUR,18.0
ADAL,CEPDL,13.0
ADAL,CEPDR,19.0
ADAL,CEPVL,15.0
ADAL,CEPVR,17.0
ADAL,DA01,16.0
ADAL,DA02,14.0
ADAL,DA03,16.0
ADAL,DA04,14.0
ADAL,DA05,16.0
ADAL,DA06,14.0
ADAL,DA07,16.0
ADAL,DA08,16.0
ADAL,DA09,14.0
ADAL,DB01,14.0
ADAL,DB02,18.0
ADAL,DB03,16.0
ADAL,DB04,16.0
ADAL,DB05,14.0
ADAL,DB06,14.0
ADAL,DB07,16.0
ADAL,DD01,14.0
ADAL,DD02,16.0
ADAL,DD03,14.0
ADAL,DD04,16.0
ADAL,DD05,14.0
ADAL,DD06,16.0
ADAL,DVA,16.0
ADAL,DVB,15.0
ADAL,DVC,18.0
ADAL,FLPL,5.0
ADAL,FLPR,17.0
ADAL,HSNL,11.0
ADAL,HSNR,17.0
ADAL,IL1DL,19.0
ADAL,IL1DR,19.0
ADAL,IL1L,19.0
ADAL,IL1R,19.0
ADAL,IL1VL,19.0
ADAL,IL1VR,19.0
ADAL,IL2DL,18.0
ADAL,IL2DR,18.0
ADAL,IL2L,18.0
ADAL,IL2R,18.0
ADAL,IL2VL,18.0
ADAL,IL2VR,18.0
ADAL,LUAL,15.0
ADAL,LUAR,17.0
ADAL,OLLL,19.0
ADAL,OLLR,17.0
ADAL,OLQDL,19.0
ADAL,OLQDR,19.0
ADAL,OLQVL,15.0
ADAL,OLQVR,17.0
ADAL,PDA,16.0
ADAL,PDB,18.0
ADAL,PDEL,12.0
ADAL,PDER,20.0
ADAL,PHAL,14.0
ADAL,PHAR,16.0
ADAL,PHBL,11.0
ADAL,PHBR,17.0
ADAL,PHCL,14.0
ADAL,PHCR,20.0
ADAL,PLML,10.0
ADAL,PLMR,18.0
ADAL,PLNL,14.0
ADAL,PLNR,20.0
ADAL,PQR,10.0
ADAL,PVCL,15.0
ADAL,PVCR,17.0
ADAL,PVDL,13.0
ADAL,PVDR,21.0
ADAL,PVM,11.0
ADAL,PVNL,13.0
ADAL,PVNR,19.0
ADAL,PVPL,14.0
ADAL,PVPR,16.0
ADAL,PVQL,10.0
ADAL,PVQR,16.0
ADAL,PVR,18.0
ADAL,PVT,14.0
ADAL,PVWL,12.0
ADAL,PVWR,18.0
ADAL,RIAL,18.0
ADAL,RIAR,18.0
ADAL,RIBL,14.0
ADAL,RIBR,16.0
ADAL,RICL,15.0
ADAL,RICR,17.0
ADAL,RID,18.0
ADAL,RIFL,15.0
ADAL,RIFR,17.0
ADAL,RIGL,14.0
ADAL,RIGR,16.0
ADAL,RIH,16.0
ADAL,RIML,14.0
ADAL,RIMR,16.0
ADAL,RIPL,18.0
ADAL,RIPR,16.0
ADAL,RIR,16.0
ADAL,RIS,16.0
ADAL,RIVL,14.0
ADAL,RIVR,16.0
ADAL,RMDDL,18.0
ADAL,RMDDR,18.0
ADAL,RMDL,18.0
ADAL,RMDR,16.0
ADAL,RMDVL,18.0
ADAL,RMDVR,18.0
ADAL,RMED,18.0
ADAL,RMEL,18.0
ADAL,RMER,18.0
ADAL,RMEV,14.0
ADAL,RMFL,7.0
ADAL,RMFR,7.0
ADAL,RMGL,4.0
ADAL,RMGR,16.0
ADAL,RMHL,17.0
ADAL,RMHR,17.0
ADAL,SAADL,18.0
ADAL,SAADR,18.0
ADAL,SAAVL,14.0
ADAL,SAAVR,16.0
ADAL,SABD,14.0
ADAL,SABVL,15.0
ADAL,SABVR,17.0
ADAL,SDQL,11.0
ADAL,SDQR,19.0
ADAL,SIADL,14.0
ADAL,SIADR,16.0
ADAL,SIAVL,14.0
ADAL,SIAVR,16.0
ADAL,SIBDL,14.0
ADAL,SIBDR,16.0
ADAL,SIBVL,14.0
ADAL,SIBVR,16.0
ADAL,SMBDL,19.0
ADAL,SMBDR,19.0
ADAL,SMBVL,18.0
ADAL,SMBVR,18.0
ADAL,SMDDL,14.0
ADAL,SMDDR,16.0
ADAL,SMDVL,18.0
ADAL,SMDVR,18.0
ADAL,URADL,12.0
ADAL,URADR,18.0
ADAL,URAVL,14.0
ADAL,URAVR,16.0
ADAL,URBL,12.0
ADAL,URBR,16.0
ADAL,URXL,13.0
ADAL,URXR,19.0
ADAL,URYDL,18.0
ADAL,URYDR,18.0
ADAL,URYVL,14.0
ADAL,URYVR,16.0
ADAL,VA01,17.0
ADAL,VA02,9.0
ADAL,VA03,19.0
ADAL,VA04,13.0
ADAL,VA05,19.0
ADAL,VA06,13.0
ADAL,VA07,19.0
ADAL,VA08,13.0
ADAL,VA09,19.0
ADAL,VA10,11.0
ADAL,VA11,11.0
ADAL,VA12,19.0
ADAL,VB01,19.0
ADAL,VB02,18.0
ADAL,VB03,9.0
ADAL,VB04,19.0
ADAL,VB05,13.0
ADAL,VB06,19.0
ADAL,VB07,13.0
ADAL,VB08,19.0
ADAL,VB09,13.0
ADAL,VB10,19.0
ADAL,VB11,11.0
ADAL,VC01,18.0
ADAL,VC02,12.0
ADAL,VC03,18.0
ADAL,VC04,12.0
ADAL,VC05,18.0
ADAL,VD01,17.0
ADAL,VD02,18.0
ADAL,VD03,8.0
ADAL,VD04,18.0
ADAL,VD05,12.0
ADAL,VD06,18.0
ADAL,VD07,12.0
ADAL,VD08,18.0
ADAL,VD09,12.0
ADAL,VD10,18.0
ADAL,VD11,10.0
ADAL,VD12,10.0
ADAL,VD13,18.0
ADAR,ADEL,17.0
ADAR,ADER,1.0
ADAR,ADFL,18.0
ADAR,ADFR,12.0
ADAR,ADLL,18.0
ADAR,ADLR,12.0
ADAR,AFDL,18.0
ADAR,AFDR,12.0
ADAR,AIAL,16.0
ADAR,AIAR,14.0
ADAR,AIBL,16.0
